City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
127,Vila Velha,BR,-20.3297,-40.2925,79.0,78,20,10.36,few clouds,2021-01-17 23:03:47
128,Caxias Do Sul,BR,-29.1681,-51.1794,68.0,99,96,4.0,overcast clouds,2021-01-17 23:01:50
129,Beringovskiy,RU,63.05,179.3167,-13.34,88,17,8.12,few clouds,2021-01-17 23:03:47
130,Ust-Kan,RU,50.9276,84.761,11.41,81,78,4.52,broken clouds,2021-01-17 23:03:47
131,Yuci,CN,37.6803,112.7319,12.2,52,0,5.61,clear sky,2021-01-17 23:03:48
132,Torbay,CA,47.6666,-52.7314,37.0,100,90,20.71,moderate rain,2021-01-17 23:03:48
133,Channel-Port Aux Basques,CA,47.5702,-59.1367,37.99,79,68,24.47,broken clouds,2021-01-17 23:03:48
134,Qaanaaq,GL,77.484,-69.3632,-2.04,74,4,5.35,clear sky,2021-01-17 23:01:40
135,Szczecinek,PL,53.7079,16.6994,8.01,85,11,4.85,few clouds,2021-01-17 23:03:48
136,Adrar,MR,20.5022,-10.0711,60.66,28,100,12.35,overcast clouds,2021-01-17 23:03:49
137,Kongoussi,BF,13.3258,-1.5347,73.58,19,72,9.82,broken clouds,2021-01-17 23:03:49
138,La Ronge,CA,55.1001,-105.2842,3.2,85,90,6.91,snow,2021-01-17 23:02:25
139,Dudinka,RU,69.4058,86.1778,-7.87,85,100,8.88,overcast clouds,2021-01-17 23:03:49
140,Berlevag,NO,70.8578,29.0864,33.8,86,75,19.57,light snow,2021-01-17 23:03:49
141,Constitucion,CL,-35.3333,-72.4167,65.37,61,0,16.8,clear sky,2021-01-17 23:01:55
142,Muravlenko,RU,63.7898,74.523,-12.95,90,93,11.39,overcast clouds,2021-01-17 23:03:50
143,Manicore,BR,-5.8092,-61.3003,80.74,72,48,1.72,scattered clouds,2021-01-17 23:03:50
144,Mareeba,AU,-17.0,145.4333,77.0,87,100,5.01,overcast clouds,2021-01-17 23:02:51
145,Pandaria,IN,22.2333,81.4167,54.88,39,0,2.08,clear sky,2021-01-17 23:03:51
146,Katsuura,JP,35.1333,140.3,39.0,68,96,1.99,overcast clouds,2021-01-17 23:03:51
147,Huanren,CN,41.2647,125.3667,6.53,92,100,2.57,overcast clouds,2021-01-17 23:03:51
148,Warri,NG,5.5167,5.75,78.08,86,0,5.17,clear sky,2021-01-17 23:03:51
149,Sao Filipe,CV,14.8961,-24.4956,72.05,73,0,5.66,clear sky,2021-01-17 23:03:51
150,Sitka,US,57.0531,-135.33,42.8,75,75,10.36,moderate rain,2021-01-17 23:03:52
151,Nioro,GM,13.35,-15.75,76.1,16,90,10.4,overcast clouds,2021-01-17 23:03:52
152,Toguchin,RU,55.2353,84.3858,17.91,94,92,18.23,overcast clouds,2021-01-17 23:03:52
153,Haines Junction,CA,60.7522,-137.5108,23.0,93,68,1.14,broken clouds,2021-01-17 23:03:52
154,Killybegs,IE,54.6333,-8.45,39.99,94,85,5.01,overcast clouds,2021-01-17 23:03:53
155,Mizdah,LY,31.4451,12.9801,43.09,63,0,9.98,clear sky,2021-01-17 23:03:53
156,Sabha,LY,27.0377,14.4283,43.77,59,0,5.37,clear sky,2021-01-17 23:03:53
157,Arlit,NE,18.7369,7.3853,65.95,25,100,6.76,overcast clouds,2021-01-17 23:03:54
158,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,94,75,30.24,light rain,2021-01-17 23:03:54
159,New Norfolk,AU,-42.7826,147.0587,61.0,71,97,1.99,overcast clouds,2021-01-17 23:01:37
160,Half Moon Bay,US,37.4636,-122.4286,66.99,55,1,8.05,clear sky,2021-01-17 23:03:54
161,Dumas,US,35.8656,-101.9732,51.01,29,1,5.75,clear sky,2021-01-17 23:03:55
162,Kapaa,US,22.0752,-159.319,80.6,69,20,19.57,few clouds,2021-01-17 23:01:39
163,Farah,AF,32.5,62.5,44.71,47,55,0.47,broken clouds,2021-01-17 23:03:55
164,Hamilton,US,39.1834,-84.5333,34.0,86,90,6.91,overcast clouds,2021-01-17 23:03:55
165,Moranbah,AU,-22.0016,148.0466,80.65,57,24,16.62,few clouds,2021-01-17 23:03:55
166,Port Hardy,CA,50.6996,-127.4199,48.2,93,75,2.3,broken clouds,2021-01-17 23:00:00
167,Curup,ID,-3.4667,102.5333,67.01,93,100,2.91,heavy intensity rain,2021-01-17 23:03:56
168,Tahoua,NE,14.8888,5.2692,77.0,18,0,4.61,clear sky,2021-01-17 23:02:13
169,Khotynets,RU,53.1286,35.3966,-10.52,90,38,3.78,scattered clouds,2021-01-17 23:03:56
170,Azul,AR,-36.777,-59.8585,64.11,58,0,8.52,clear sky,2021-01-17 23:03:56
171,Oranjemund,NA,-28.55,16.4333,63.32,88,0,3.4,clear sky,2021-01-17 23:03:57
172,Kloulklubed,PW,7.0419,134.2556,75.2,88,90,6.91,light rain,2021-01-17 23:03:57
173,Les Cayes,HT,18.2,-73.75,75.34,80,88,4.05,overcast clouds,2021-01-17 23:03:01
174,Severo-Kurilsk,RU,50.6789,156.125,19.87,93,90,40.91,light snow,2021-01-17 23:03:57
175,Thinadhoo,MV,0.5333,72.9333,81.43,70,34,6.69,scattered clouds,2021-01-17 23:03:58
176,Aitape,PG,-3.1374,142.3475,83.26,78,81,7.81,light rain,2021-01-17 23:03:58
177,Porto Novo,BJ,6.4965,2.6036,82.4,83,20,8.05,few clouds,2021-01-17 23:03:58
178,San Patricio,US,28.017,-97.5169,73.4,52,20,11.5,few clouds,2021-01-17 23:03:58
179,Varadero,CU,23.1536,-81.2514,68.0,83,75,5.75,broken clouds,2021-01-17 23:03:58
180,Norsup,VU,-16.0667,167.3833,85.37,71,51,8.28,broken clouds,2021-01-17 23:03:59
181,Halifax,CA,44.6453,-63.5724,39.2,81,98,31.07,light rain,2021-01-17 23:03:35
182,Magdagachi,RU,53.45,125.8,-25.92,82,93,5.01,overcast clouds,2021-01-17 23:03:59
183,Miguel Hidalgo,MX,19.4225,-99.2028,57.2,58,75,11.5,light rain,2021-01-17 23:00:06
184,Kaeo,NZ,-35.1,173.7833,73.99,58,7,13.0,clear sky,2021-01-17 23:03:59
185,Havoysund,NO,70.9963,24.6622,35.6,87,75,9.22,broken clouds,2021-01-17 23:03:59
186,Demerval Lobao,BR,-5.3583,-42.6764,77.0,83,75,9.22,broken clouds,2021-01-17 23:04:00
187,Bengkulu,ID,-3.8004,102.2655,74.91,87,99,5.53,overcast clouds,2021-01-17 23:01:58
188,Jalu,LY,29.0331,21.5482,49.39,83,0,8.77,clear sky,2021-01-17 23:04:00
189,Gardendale,US,33.6601,-86.8128,51.8,35,20,12.66,few clouds,2021-01-17 23:04:00
190,Christchurch,NZ,-43.5333,172.6333,66.0,36,88,13.8,overcast clouds,2021-01-17 23:02:10
