City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
542,Kudahuvadhoo,MV,81.25,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
549,Labuhan,ID,77.2,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
551,San Andres,CO,82.4,light rain,12.5847,-81.7006,Hotel Arena Blanca
553,Acarau,BR,79.97,light rain,-2.8856,-40.12,castelo pizzaria
555,Lindi,TZ,76.69,broken clouds,-10.0,39.7167,Lindi paradise house
556,Samarai,PG,84.92,broken clouds,-10.6167,150.6667,Nuli Sapi
559,Omboue,GA,77.45,light rain,-1.5746,9.2618,Hotel Olako
563,Patria,PH,77.43,overcast clouds,11.7403,122.0171,Beach Resort
564,Amahai,ID,82.0,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
565,Kandrian,PG,85.42,broken clouds,-6.2167,149.55,Kandrian Station
567,Cartagena,CO,84.2,few clouds,10.3997,-75.5144,Costa Del Sol
569,Acapulco,MX,84.2,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
572,Isangel,VU,86.0,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
573,Sao Francisco Do Conde,BR,82.4,scattered clouds,-12.6275,-38.68,Fazenda Engenho D’Água
574,Maroantsetra,MG,76.42,scattered clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
577,Iracoubo,GF,77.11,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
579,Chicama,PE,75.02,scattered clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
583,Gamba,GA,77.72,overcast clouds,-2.65,10.0,
589,Trinidad,BO,82.4,light rain,-14.8333,-64.9,Hotel Piesta
595,Labrea,BR,77.41,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
596,Pangai,TO,86.0,few clouds,-19.8,-174.35,Ha'apai Beach Resort
597,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
615,Cururupu,BR,77.04,broken clouds,-1.8283,-44.8683,Pousada Través'cia
618,Noumea,NC,84.2,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
619,Kuah,MY,80.6,few clouds,6.3265,99.8432,Azio Hotel
620,Inirida,CO,76.17,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
624,Bermejo,AR,86.0,clear sky,-32.8833,-68.8,Hotel Mendoza
628,Kalianget,ID,77.23,light rain,-7.05,113.9333,Pesanggrahan Garam
630,Mogadishu,SO,76.21,overcast clouds,2.0371,45.3438,Hotel Juba
633,Axim,GH,79.3,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
636,Miranda,CO,84.2,moderate rain,3.2499,-76.2281,unidiversidad organica la utopia
637,Yaan,NG,79.23,clear sky,7.3833,8.5667,
643,Black River,JM,80.6,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
648,Garissa,KE,78.71,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
655,Bogo,PH,77.14,overcast clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
656,Manoel Urbano,BR,79.16,few clouds,-8.8389,-69.2597,Baixada Beira Rio
659,Manggar,ID,78.8,overcast clouds,-2.8833,108.2667,Guest Hotel
662,Mahajanga,MG,82.4,moderate rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
666,Tual,ID,82.47,light rain,-5.6667,132.75,Grand Vilia Hotel
668,Kango,GA,75.04,broken clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
675,Wahiawa,US,78.01,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
676,Moron,AR,75.99,clear sky,-34.6534,-58.6198,Hotel Morón
680,Lucea,JM,80.6,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
696,Kempsey,AU,77.0,overcast clouds,-31.0833,152.8333,Park Drive Motel
